Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
00:00:00.000+05:30,00:15:00.000+05:30,,19.200520957509678,,,,84.75,96.0,80.0,,,,7,,,
00:15:00.000+05:30,00:30:00.000+05:30,,19.200520957509678,,,,76.75,79.0,72.0,,,,7,,,
00:30:00.000+05:30,00:45:00.000+05:30,,19.200520957509678,,,,76.0,77.0,75.0,,,,7,,,
00:45:00.000+05:30,01:00:00.000+05:30,,19.200520957509678,,,,78.75,95.0,73.0,,,,7,,,
01:00:00.000+05:30,01:15:00.000+05:30,,19.200520957509678,,,,77.75,86.0,71.0,,,,7,,,
01:15:00.000+05:30,01:30:00.000+05:30,,19.200520957509678,,,,74.75,83.0,70.0,,,,7,,,
01:30:00.000+05:30,01:45:00.000+05:30,,19.200520957509678,,,,70.0,74.0,64.0,,,,7,,,
01:45:00.000+05:30,02:00:00.000+05:30,,19.200520957509678,,,,76.0,84.0,65.0,,,,7,,,
02:00:00.000+05:30,02:15:00.000+05:30,,19.200520957509678,,,,68.5,69.0,68.0,,,,7,,,
02:15:00.000+05:30,02:30:00.000+05:30,,19.200520957509678,,,,67.0,68.0,66.0,,,,7,,,
02:30:00.000+05:30,02:45:00.000+05:30,,19.200520957509678,,,,61.75,63.0,61.0,,,,7,,,
02:45:00.000+05:30,03:00:00.000+05:30,,19.200520957509678,,,,76.5,93.0,60.0,,,,7,,,
03:00:00.000+05:30,03:15:00.000+05:30,,19.200520957509678,,,,71.75,81.0,68.0,,,,7,,,
03:15:00.000+05:30,03:30:00.000+05:30,,19.200520957509678,,,,70.75,76.0,68.0,,,,7,,,
03:30:00.000+05:30,03:45:00.000+05:30,,19.200520957509678,,,,72.0,76.0,68.0,,,,7,,,
